x	y	line_id
27.032	144.140	0082-0122
26.935	144.117	0082-0122
26.837	144.093	0082-0122
26.740	144.070	0082-0122
26.643	144.047	0082-0122
26.546	144.023	0082-0122
26.449	144.000	0082-0122
26.351	143.977	0082-0122
26.254	143.953	0082-0122
26.157	143.930	0082-0122
26.060	143.907	0082-0122
25.962	143.883	0082-0122
25.865	143.860	0082-0122
25.768	143.836	0082-0122
25.671	143.813	0082-0122
25.573	143.790	0082-0122
25.476	143.766	0082-0122
25.379	143.743	0082-0122
25.282	143.720	0082-0122
25.185	143.696	0082-0122
25.087	143.673	0082-0122
24.990	143.650	0082-0122
24.893	143.626	0082-0122
24.796	143.603	0082-0122
24.698	143.579	0082-0122
24.601	143.556	0082-0122
24.504	143.533	0082-0122
24.407	143.509	0082-0122
24.309	143.486	0082-0122
24.212	143.463	0082-0122
24.115	143.439	0082-0122
24.018	143.416	0082-0122
23.921	143.392	0082-0122
23.823	143.369	0082-0122
23.726	143.346	0082-0122
23.629	143.322	0082-0122
23.532	143.299	0082-0122
23.434	143.276	0082-0122
23.337	143.252	0082-0122
23.240	143.229	0082-0122
23.151	143.183	0082-0122
23.065	143.131	0082-0122
22.980	143.080	0082-0122
22.894	143.029	0082-0122
22.808	142.977	0082-0122
22.722	142.926	0082-0122
22.637	142.874	0082-0122
22.551	142.823	0082-0122
22.465	142.771	0082-0122
22.379	142.720	0082-0122
22.294	142.668	0082-0122
22.208	142.617	0082-0122
22.122	142.566	0082-0122
22.036	142.514	0082-0122
21.951	142.463	0082-0122
21.865	142.411	0082-0122
21.779	142.360	0082-0122
21.693	142.308	0082-0122
21.608	142.257	0082-0122
21.522	142.205	0082-0122
21.436	142.154	0082-0122
21.350	142.102	0082-0122
21.265	142.051	0082-0122
21.179	142.000	0082-0122
21.093	141.948	0082-0122
21.007	141.897	0082-0122
20.922	141.845	0082-0122
20.836	141.794	0082-0122
20.750	141.742	0082-0122
20.664	141.691	0082-0122
20.579	141.639	0082-0122
20.493	141.588	0082-0122
20.407	141.537	0082-0122
20.321	141.485	0082-0122
20.236	141.434	0082-0122
20.150	141.382	0082-0122
20.064	141.331	0082-0122
19.978	141.279	0082-0122
19.893	141.228	0082-0122
19.807	141.176	0082-0122
19.721	141.125	0082-0122
19.635	141.074	0082-0122
19.550	141.022	0082-0122
19.464	140.971	0082-0122
19.378	140.919	0082-0122
19.292	140.868	0082-0122
19.207	140.816	0082-0122
19.121	140.765	0082-0122
19.035	140.713	0082-0122
18.949	140.662	0082-0122
18.864	140.610	0082-0122
18.778	140.559	0082-0122
18.692	140.508	0082-0122
18.606	140.456	0082-0122
18.521	140.405	0082-0122
18.435	140.353	0082-0122
18.349	140.302	0082-0122
18.263	140.250	0082-0122
18.178	140.199	0082-0122
18.092	140.147	0082-0122
18.006	140.096	0082-0122
17.920	140.045	0082-0122
